onset	duration	trial_type	file
404.776	0.5	emotional	10_disgust
405.276	4.7520000000000095	ITI	Rien
410.028	0.5043764172335601	emotional	10_anger
410.5323764172336	5.066623582766409	ITI	Rien
415.599	0.5	non_speech	voc57
416.099	4.514999999999986	ITI	Rien
420.614	0.5000453514739229	animal	nvoc4
421.1140453514739	4.353954648526119	ITI	Rien
425.468	0.5	non_speech	voc56
425.968	5.0709999999999695	ITI	Rien
431.039	0.5000453514739229	artificial	nvoc55
431.53904535147393	4.354954648526095	ITI	Rien
435.894	0.5009523809523809	environmental	nvoc30
436.39495238095236	5.627047619047605	ITI	Rien
442.022	0.5	emotional	8_sadness
442.522	4.194999999999993	ITI	Rien
446.717	0.5	non_speech	voc55
447.217	4.275000000000034	ITI	Rien
451.492	0.5009070294784579	environmental	nvoc29
451.9929070294785	4.434092970521545	ITI	Rien
456.427	0.5	emotional	8_happiness
456.927	4.274999999999977	ITI	Rien
461.202	0.5	speech	voc13
461.702	4.752999999999986	ITI	Rien
466.455	0.5009523809523809	artificial	nvoc54
466.95595238095234	4.672047619047621	ITI	Rien
471.628	0.5	emotional	8_disgust
472.128	4.673000000000002	ITI	Rien
476.801	0.5043764172335601	emotional	8_anger
477.30537641723356	4.6686235827664415	ITI	Rien
481.974	0.5005442176870748	animal	nvoc3
482.4745442176871	5.230455782312919	ITI	Rien
487.705	0.5008616780045352	environmental	nvoc28
488.2058616780045	4.433138321995491	ITI	Rien
492.639	0.5	speech	voc12
493.139	4.355000000000018	ITI	Rien
497.494	0.5000453514739229	animal	nvoc2
497.99404535147397	4.592954648526038	ITI	Rien
502.587	0.5005442176870748	artificial	nvoc53
503.0875442176871	4.354455782312943	ITI	Rien
507.442	0.5	non_speech	voc54
507.942	4.433999999999969	ITI	Rien
512.376	0.5	non_speech	voc53
512.876	4.433999999999969	ITI	Rien
517.31	0.5	speech	voc11
517.81	4.5150000000001	ITI	Rien
522.325	0.5003174603174603	animal	nvoc1
522.8253174603175	4.990682539682525	ITI	Rien
527.816	0.5005442176870748	artificial	nvoc52
528.3165442176871	4.354455782312943	ITI	Rien
532.671	0.5	emotional	2_sadness
533.171	4.592999999999961	ITI	Rien
537.764	0.5008616780045352	environmental	nvoc27
538.2648616780045	5.4691383219954925	ITI	Rien
543.734	0.5006349206349207	environmental	nvoc26
544.2346349206349	4.9103650793650235	ITI	Rien
549.145	0.5	animal	horned_owl_mike_koenig
549.645	4.433999999999969	ITI	Rien
554.079	0.5009070294784579	artificial	nvoc51
554.5799070294784	4.4340929705216015	ITI	Rien
559.014	0.5	speech	voc10
