onset	duration	trial_type	file	expected_answer	answer	reaction_time
115.877	0.4126303854875283	anne	182_toussez	0	0	0.0
116.28963038548753	1.3213696145124771	answer	Rien	-1	2	1.3213696145124771
117.611	7.418999999999997	ITI	Rien	0	0	0.0
125.03	0.3878458049886621	betty	214_pouvez	0	0	0.0
125.41784580498866	1.8891541950113435	answer	Rien	-2	3	1.8891541950113435
127.307	8.706000000000003	ITI	Rien	0	0	0.0
136.013	0.7115419501133787	chloe	233_voyelle	0	0	0.0
136.72454195011338	0.3564580498866121	answer	Rien	-3	3	0.3564580498866121
137.081	8.482	ITI	Rien	0	0	0.0
145.563	0.4651927437641724	anne	182_hallo	0	0	0.0
146.02819274376415	0.5968072562358486	answer	Rien	-1	3	0.5968072562358486
146.625	8.329000000000008	ITI	Rien	0	0	0.0
154.954	0.6146031746031746	betty	214_francais	0	0	0.0
155.56860317460317	0.786396825396821	answer	Rien	-2	2	0.786396825396821
156.355	10.457000000000022	ITI	Rien	0	0	0.0
166.812	0.5902040816326529	chloe	233_toussez	0	0	0.0
167.40220408163268	0.5187959183673172	answer	Rien	-3	3	0.5187959183673172
167.921	7.885000000000019	ITI	Rien	0	0	0.0
175.806	0.4849206349206349	betty	214_voyelle	0	0	0.0
176.29092063492064	1.9260793650793744	answer	Rien	-2	2	1.9260793650793744
178.217	7.0589999999999975	ITI	Rien	0	0	0.0
185.276	0.4357142857142857	chloe	233_hallo	0	0	0.0
185.7117142857143	0.5752857142857124	answer	Rien	-3	3	0.5752857142857124
186.287	7.663999999999987	ITI	Rien	0	0	0.0
193.951	0.4803174603174603	anne	182_pouvez	0	0	0.0
194.43131746031744	1.4276825396825643	answer	Rien	-1	1	1.4276825396825643
195.859	7.881	ITI	Rien	0	0	0.0
203.74	0.4672789115646258	betty	214_quatre	0	0	0.0
204.20727891156463	1.6277210884353792	answer	Rien	-2	2	1.6277210884353792
205.835	8.171999999999997	ITI	Rien	0	0	0.0
214.007	0.8059410430839002	chloe	233_mardi	0	0	0.0
214.8129410430839	2.428058956916118	answer	Rien	-3	2	2.428058956916118
217.241	5.838999999999999	ITI	Rien	0	0	0.0
223.08	0.6693197278911565	anne	182_francais	0	0	0.0
223.74931972789116	0.39768027210882906	answer	Rien	-1	1	0.39768027210882906
224.147	7.926000000000016	ITI	Rien	0	0	0.0
232.073	0.6176643990929706	anne	182_quatre	0	0	0.0
232.69066439909298	1.1583356009070087	answer	Rien	-1	1	1.1583356009070087
233.849	8.093000000000018	ITI	Rien	0	0	0.0
241.942	0.7373015873015873	chloe	233_jeudi	0	0	0.0
242.6793015873016	0.42969841269840003	answer	Rien	-3	3	0.42969841269840003
243.109	6.870999999999981	ITI	Rien	0	0	0.0
249.98	0.5778684807256236	chloe	233_partie	0	0	0.0
250.5578684807256	0.7291315192744037	answer	Rien	-3	3	0.7291315192744037
251.287	7.845999999999975	ITI	Rien	0	0	0.0
259.133	0.5675963718820861	betty	214_lundi	0	0	0.0
259.70059637188206	0.46640362811791647	answer	Rien	-2	2	0.46640362811791647
260.167	9.630000000000052	ITI	Rien	0	0	0.0
269.797	0.6545351473922902	betty	214_jeudi	0	0	0.0
270.4515351473923	1.0254648526076835	answer	Rien	-2	2	1.0254648526076835
271.477	8.269000000000005	ITI	Rien	0	0	0.0
279.746	0.7329705215419501	chloe	233_quatre	0	0	0.0
280.47897052154195	0.8300294784580728	answer	Rien	-3	2	0.8300294784580728
281.309	7.7479999999999905	ITI	Rien	0	0	0.0
289.057	0.33918367346938777	betty	214_penser	0	0	0.0
289.3961836734694	1.398816326530607	answer	Rien	-2	1	1.398816326530607
290.795	7.096000000000004	ITI	Rien	0	0	0.0
297.891	0.6468934240362811	anne	182_voyelle	0	0	0.0
298.5378934240363	1.325106575963673	answer	Rien	-1	2	1.325106575963673
299.863	8.214999999999975	ITI	Rien	0	0	0.0
308.078	0.4461678004535147	anne	182_penser	0	0	0.0
308.5241678004535	0.782832199546533	answer	Rien	-1	1	0.782832199546533
309.307	7.5260000000000105	ITI	Rien	0	0	0.0
316.833	0.7930385487528344	chloe	233_lundi	0	0	0.0
317.6260385487529	0.39296145124711757	answer	Rien	-3	3	0.39296145124711757
318.019	9.079999999999984	ITI	Rien	0	0	0.0
327.099	0.6852380952380952	betty	214_mardi	0	0	0.0
327.7842380952381	1.114761904761906	answer	Rien	-2	1	1.114761904761906
328.899	7.988999999999976	ITI	Rien	0	0	0.0
336.888	0.6907256235827665	anne	182_neutre	0	0	0.0
337.5787256235827	0.17027437641729648	answer	Rien	-1	1	0.17027437641729648
337.749	6.8589999999999804	ITI	Rien	0	0	0.0
